event_date,custom_session_id,revenue
2020-11-03,1482564.3987701428_9623272902,60.0
2020-11-03,1482564.3987701428_9623272902,58.0
2020-11-03,1482564.3987701428_9623272902,8.0
2020-11-03,9130640.2139762011_7626561463,16.0
2020-11-03,9130640.2139762011_7626561463,2.0
2020-11-03,9130640.2139762011_7626561463,14.0
2020-11-03,9130640.2139762011_7626561463,24.0
2020-11-03,25060616.2829422023_2602312458,18.0
2020-11-03,25060616.2829422023_2602312458,13.0
2020-11-03,25060616.2829422023_2602312458,24.0
2020-11-03,25060616.2829422023_2602312458,14.0
2020-11-03,33274361.4713446044_5301436842,16.0
2020-11-03,33274361.4713446044_5301436842,18.0
2020-11-03,33274361.4713446044_5301436842,18.0
2020-11-03,33274361.4713446044_5301436842,30.0
2020-11-03,35052066.2813337110_5755046909,7.0
2020-11-03,35052066.2813337110_5755046909,19.0
2020-11-03,35052066.2813337110_5755046909,6.0
2020-11-03,35052066.2813337110_5755046909,4.0
2020-11-03,53887436.1726083498_3733151609,20.0
2020-11-03,53887436.1726083498_3733151609,48.0
2020-11-03,53887436.1726083498_3733151609,55.0
2020-11-03,53887436.1726083498_3733151609,96.0
2020-11-03,55484597.5078975459_2217218641,79.0
2020-11-03,55484597.5078975459_2217218641,18.0
2020-11-03,55484597.5078975459_2217218641,10.0
2020-11-03,55484597.5078975459_2217218641,10.0
2020-11-03,56494469.6974953877_7547648841,22.0
2020-11-03,56494469.6974953877_7547648841,20.0
2020-11-03,56494469.6974953877_7547648841,11.0
2020-11-03,56494469.6974953877_7547648841,12.0
2020-11-03,4513859.3844267868_3107532923,4.0
2020-11-03,4513859.3844267868_3107532923,24.0
2020-11-03,4513859.3844267868_3107532923,7.0
